Squalus acanthias 	 Black Sea 	 Millions 	 Millions 	 Tonnes  
Salmo salar 	 Northeast River, Nfld, CA 	 Number of small salmon 	 . 	 .  
Coregonus albula 	 Lake Pyhajarvi, Finland 	 Billions eggs 	 Millions 	 .  
Gadus macrocephalus 	 Eastern Bering Sea 	 Thousand tonnes 	 Millions 	 Tonnes 
Lutjanus campechanus 	 U.S. Gulf of Mexico 	 Thousand billion eggs 	 Millions 	 .  
Merluccius merluccius 	 ICES VIIIc and IXa 	 Tonnes 	 Thousands 	 Tonnes  
Clupea harengus 	 Yellow Sea or Huanghai Sea 	 Millions of fish 	 Millions 	 .   
Stizostedion lucioperca 	 Lake Tjeukemeer, the Netherlands 	 . 	 Numbers per Tow 	 .  
Salmo salar 	 Tobique River, N.B., Canada 	 eggs/100m^2 	 number of MSW salmon 	 recruits + Nfld + Grnld  
Salvelinus fontinalis 	 Montmorency County, Michigan 	 Number of eggs 	 Numbers 	 .  
Sebastes mentela and fasciatus  	 NAFO 5YZ 	 .  	 .  	 .  
Pleuronectes ferrugineus 	 NAFO 3LNO 	 Tonnes 	 Thousands 	 Tonnes 
Salmo salar 	 Terra Nova River, Lower fishway, Nfld, CA 	 Number of large salmon 	 . 	 .  
Salmo salar 	 Terra Nova River, Upper fishway, Nfld, CA 	 Number of small salmon 	 . 	 .  
Salmo salar 	 Conne River, Nfld, CA 	 Number of smolts 	 Number of small salmon 	 .  
Salmo salar 	 Miramichi River, N. B., Canada 	 Number angled large kelt 	 Number small parr per 100 m^2 	 .  
Oncorhynchus keta 	 Queen Charlotte Islands, B.C. 	 Thousands fish 	 Thousands 	 .  
Oncorhynchus gorbuscha 	 Kodiak Area, Alaska 	 Thousands of fish 	 Thousands of fish 	 Millions of fish 
Oncorhynchus mykiss 	 Keogh River, B.C. 	 Number of Smolts 	 Number of Adults 	 .  
Salmo salar 	 Torrent River, Nfld, CA 	 Number of small salmon 	 . 	 .  
Clupea harengus 	 Prince Rupert District 	 Tonnes 	 Millions 	 .  
Trachurus symetricus 	 South Pacific Ocean 	 Thousand Tonnes 	 Billions 	 Thousand Tonnes 
Oncorhynchus tshawytscha  	 King Salmon River, Alaska 	 Numbers 	 Numbers 	 .  
Salmo salar 	 Pinchgut Brook, Nfld, CA 	 Number of large salmon 	 . 	 .  
Champsocephalus gunnari 	 South Orkney Islands, Antarctic Ocean 	 Thousand Tonnes 	 . 	 Thousand Tonnes 
Perca flavescens 	 Western Lake Erie 	 . 	 index 	 .  
