assessid	 pdfcheck	 pdffilename 
NEFSC-HAD5Y-1956-2008-BAUM 	 (pdf file MISSING!) 	 NMFS-GOM-Melanogrammusaeglefinus-2008.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/116
DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE 	 (pdf file MISSING!) 	 NAFO-POLL4VWX5Zc-2006.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/179
RIDEM-TAUTOGRI-1959-2007-COLLIE 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/313
NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO 	 (pdf file MISSING!) 	 NMFS-SNEMATL-Pseudopleuronectesamercianus-2008.pdf 	 
RIDEM-WINFLOUNDRI-1959-2007-COLLIE 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/314
NEFSC-YELLGB-1935-2008-BAUM 	 (pdf file MISSING!) 	 NMFS-GB-Limandaferruginea-2008.pdf 	 
AFWG-CODCOASTNOR-1982-2006-MINTO 	 (pdf file present) 	 ICES-AFWG-2007.pdf 	 
WGHMM-HAKENRTN-1977-2007-JENNINGS 	 (pdf file present) 	 ICES-WGHMM-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/33
WGMHSA-MACKNEICES-1972-2007-JENNINGS 	 (pdf file present) 	 ICES-WGMHSA07.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/48
SPC-ALBASPAC-1959-2007-JENSEN 	 (pdf file present) 	 JENSEN_ALBWPO_2008.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/57
SPC-BIGEYEWPO-1952-2007-JENSEN 	 (pdf file present) 	 JENSEN_BETWPO_2008.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/59
SPC-SKJCWPAC-1972-2007-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/15
SPC-YFINCWPAC-1952-2006-JENSEN 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/60
INIDEP-ARGHAKENARG-1985-2007-Parma 	 (pdf file present) 	 Irusta-hake-N-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/104
INIDEP-ARGHAKESARG-1985-2007-Parma 	 (pdf file present) 	 Renzi-hake-S-2008.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/103
INIDEP-PATGRENADIERSARG-1983-2006-Parma 	 (pdf file present) 	 Giussi-hoki-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/148
INIDEP-SBWHITARGS-1985-2007-Parma 	 (pdf file present) 	 Giussi-polaca-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/119
DFO-SG-COD4T-1950-2007-HUTCHINGS 	 (pdf file MISSING!) 	 http://www.dfo-mpo.gc.ca/csas/Csas/DocREC/2007/RES2007_033_b.pdf 	 
DFO-SG-COD4TVn-1965-2007-PREFONTAINE 	 (pdf file MISSING!) 	 NAFO-COD4TVn-2007.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/156
CSIRO-PINKLINGGABSESSF-1968-2007-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/93
CSIRO-PINKLINGSESSF-1968-2007-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/89
CSIRO-WAREHOUGABSESSF-1984-2006-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/97
CSIRO-WAREHOUSESSF-1984-2006-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/101
CSIRO-GEMFISHSESSF-1966-2007-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/88
CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/99
CSIRO-MORWONGSESSF-1913-2007-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/90
CSIRO-OROUGHYSESSF-1978-2007-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/98
CSIRO-SWHITSESSF-1945-2007-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/94
CSIRO-SILVERFISHSESSF-1978-2006-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/91
CSIRO-TIGERFLATSESSF-1913-2006-FULTON 	 (pdf file MISSING!) 	 NONE 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/92
SEFSC-RPORGYSATLC-1972-2005-JENSEN 	 (pdf file MISSING!) 	 JENSEN_RPORGYSATLC_2006.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/73
SEFSC-SPANMACKSATLC-1950-2008-JENSEN 	 (pdf file MISSING!) 	 JENSEN_SPANMACKSATLC_2008.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/75
AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK 	 (pdf file present) 	 AFSC-ALPLAICBSAI-2008-Alaska plaice BSAI.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/269
AFSC-ARFLOUNDBSAI-1970-2008-STANTON 	 (pdf file MISSING!) 	 AFSC-ARFLOUNDBSAI-2007-Arrowtooth flounder BSAI.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/244
AFSC-ATKABSAI-1977-2009-STANTON 	 (pdf file MISSING!) 	 2008_SAFE_BSAIatka.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/240
AFSC-FLSOLEBSAI-1977-2008-STANTON 	 (pdf file MISSING!) 	 2008_SAFE_BSAIflathead.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/232
AFSC-GHALBSAI-1960-2009-STANTON 	 (pdf file MISSING!) 	 2008_SAFE_BSAIturbot.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/243
AFSC-NRSOLEEBSAI-1971-2008-STANTON 	 (pdf file MISSING!) 	 2008_SAFE_BSAIrocksole.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/238
AFSC-NROCKBSAI-1977-2009-STANTON 	 (pdf file MISSING!) 	 2008_SAFE_BSAInorthern.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/255
AFSC-PCODBSAI-1964-2008-MELNYCHUK 	 (pdf file present) 	 AFSC-PCODBSAI-2008-Pacific cod BSAI.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/268
AFSC-PERCHEBSAI-1974-2009-STANTON 	 (pdf file MISSING!) 	 2008_SAFE_BSAIpop.pdf 	 http://www.marinebiodiversity.ca/RAMlegacy/ramlegacy-bug-reporting/256
