assessid,scientificname,commonname1,stocklong,lme_name,tsyear,tsid,tsvalue
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1985,TB-MT,292210.05
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1986,TB-MT,286533.4
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1987,TB-MT,275236.63
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1988,TB-MT,282378.61
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1989,TB-MT,290374.21
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1990,TB-MT,275344.45
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1991,TB-MT,290074.34
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1992,TB-MT,308561.37
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1993,TB-MT,322464.31
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1994,TB-MT,330984.53
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1995,TB-MT,334275.41
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1996,TB-MT,325370.37
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1997,TB-MT,315211.14
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1998,TB-MT,313872.42
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,1999,TB-MT,318949.67
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,2000,TB-MT,309843.15
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,2001,TB-MT,288681.78
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,2002,TB-MT,276895.72
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,2003,TB-MT,252487.2
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,2004,TB-MT,234832.65
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,2005,TB-MT,206809.44
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,2006,TB-MT,189867.54
ICCAT-ATBTUNAEATL-1955-2007-WORM,Thunnus thynnus,Atlantic bluefin tuna,Bluefin tuna Eastern Atlantic,Atlantic High Seas,2007,TB-MT,166431.7
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1968,TB-MT,176000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1969,TB-MT,181000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1970,TB-MT,186000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1971,TB-MT,190000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1972,TB-MT,193000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1973,TB-MT,194000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1974,TB-MT,196000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1975,TB-MT,197000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1976,TB-MT,199000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1977,TB-MT,201000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1978,TB-MT,202000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1979,TB-MT,201000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1980,TB-MT,202000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1981,TB-MT,201000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1982,TB-MT,200000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1983,TB-MT,200000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1984,TB-MT,199000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1985,TB-MT,192000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1986,TB-MT,185000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1987,TB-MT,177000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1988,TB-MT,168000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1989,TB-MT,158000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1990,TB-MT,151000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1991,TB-MT,146000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1992,TB-MT,142000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1993,TB-MT,139000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1994,TB-MT,137000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1995,TB-MT,133000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1996,TB-MT,132000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1997,TB-MT,132000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1998,TB-MT,129000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,1999,TB-MT,127000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,2000,TB-MT,125000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,2001,TB-MT,122000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,2002,TB-MT,119000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,2003,TB-MT,118000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,2004,TB-MT,115000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,2005,TB-MT,112000
ICCAT-SWORDMED-1968-2006-JENSEN,Xiphias gladius,Swordfish,Swordfish Mediterranean Sea,Mediterranean Sea,2006,TB-MT,110000
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1990,TB-MT,1057758.05
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1991,TB-MT,886739.78
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1992,TB-MT,843773.89
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1993,TB-MT,1434361.66
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1994,TB-MT,2531047.75
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1995,TB-MT,2769270.47
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1996,TB-MT,3674349.79
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1997,TB-MT,2660168.5
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1998,TB-MT,2093517.98
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,1999,TB-MT,1774830.74
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,2000,TB-MT,2032888.64
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,2001,TB-MT,1946320.23
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,2002,TB-MT,1642268.46
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,2003,TB-MT,1844108.03
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,2004,TB-MT,2915369.71
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,2005,TB-MT,2241743.04
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,2006,TB-MT,1498656.34
INIDEP-ARGANCHONARG-1989-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Northern Argentina,Patagonian Shelf,2007,TB-MT,1141720.96
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,1993,TB-MT,765224.53
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,1994,TB-MT,975963.94
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,1995,TB-MT,1906695.28
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,1996,TB-MT,2178898.56
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,1997,TB-MT,1579422.61
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,1998,TB-MT,1328471.69
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,1999,TB-MT,1026645.75
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,2000,TB-MT,1047838.71
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,2001,TB-MT,817367.84
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,2002,TB-MT,849272.19
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,2003,TB-MT,987649.29
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,2004,TB-MT,1092558.85
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,2005,TB-MT,1150162.3
INIDEP-ARGANCHOSARG-1992-2007-Parma,Engraulis anchoita,Argentine anchoita,Argentine anchoita Southern Argentina,Patagonian Shelf,2006,TB-MT,1575434.58
