"","mgmt","stock","scientificname","assessmethod","timespan","currentyear","Bratio","bfromassessment","Uratio","ufromassessment"
"232","MFish","Southern hake Sub-Antarctic","\textit{Merluccius australis}","Integrated Analysis","1975-2007",2007,2.91089194789382,"yes",0.10671332247557,"yes"
"230","MFish","Southern blue whiting Campbell Island Rise","\textit{Micromesistius australis}","Integrated Analysis","1979-2006",2006,1.15430662009736,"yes",0.91783018292683,"yes"
"216","MFish","Trevally New Zealand Areas TRE 7","\textit{Pseudocaranx dentex}","Integrated Analysis","1944-2005",2005,1.43747054029498,"yes",0.83042831858407,"yes"
"211","MFish","Smooth oreo Chatham Rise","\textit{Pseudocyttus maculatus}","Integrated Analysis","1979-2006",2006,2.24873024600090,"yes",0.384531413612565,"yes"
"212","MFish","Smooth oreo West end of Chatham Rise","\textit{Pseudocyttus maculatus}","Integrated Analysis","1973-2004",2004,1.24879079044461,"yes",0.531178184110971,"yes"
"224","MFish","common gemfish New Zealand","\textit{Rexea solandri}","Integrated Analysis","1952-2007",2006,1.63557064294778,"yes",0.428687464026706,"yes"
"133","NAFO","Atlantic cod NAFO 3M","\textit{Gadus morhua}","VPA","1959-2008",NA,NA,NA,NA,NA
"134","NAFO","Atlantic cod NAFO 3NO","\textit{Gadus morhua}","VPA","1953-2007",2006,0.0222615600541176,"no",0.269158998378306,"no"
"131","NAFO","American Plaice NAFO-3LNO","\textit{Hippoglossoides platessoides}","VPA","1955-2007",2006,0.0783147930887372,"no",0.766299346670966,"no"
"132","NAFO","American Plaice NAFO-3M","\textit{Hippoglossoides platessoides}","VPA","1960-2007",NA,NA,NA,NA,NA
"138","NAFO","Yellowtail Flounder NAFO 3LNO","\textit{Limanda ferruginea}","Biomass dynamics model","1960-2009",2007,1.61628045029196,"no",0.152322838275498,"no"
"136","NAFO","Redfish species NAFO 3LN","\textit{Redfish species}","Biomass dynamics model","1959-2008",2008,1.88019732205779,"yes",0.0406976744186047,"yes"
