assessid,commonname1,scientificname,family,tsyear,total,total_unit,ssb,ssb_unit
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1974,378195,MT,199088,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1975,305000,MT,128000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1975,380112,MT,194958,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1976,268000,MT,113000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1976,374689,MT,191487,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1977,227000,MT,100000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1977,359802,MT,182509,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1978,226000,MT,92000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1978,358036,MT,181322,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1979,209000,MT,90000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1979,352447,MT,178571,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1980,191000,MT,87000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1980,333618,MT,170687,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1981,307000,MT,88000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1981,332106,MT,168855,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1982,346000,MT,94000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1982,325291,MT,166347,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1983,348000,MT,109000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1983,310962,MT,160174,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1984,423000,MT,128000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1984,298454,MT,155054,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1985,450000,MT,146000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1985,283756,MT,149662,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1986,470000,MT,163000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1986,268482,MT,142833,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1987,432000,MT,171000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1987,255509,MT,135740,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1988,422000,MT,170000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1988,242926,MT,128070,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1989,398000,MT,162000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1989,233769,MT,121875,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1990,350000,MT,152000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1990,224875,MT,116672,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1991,320000,MT,140000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1991,219595,MT,112358,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1992,287000,MT,129000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1992,214457,MT,108787,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1993,290000,MT,119000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1993,207239,MT,105902,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1994,256000,MT,108000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1994,199705,MT,103341,MT
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1995,266000,MT,100000,MT
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Anoplopoma fimbria,Anoplopomatidae,1995,191297,MT,100408,MT
