\noindent For the following stocks, only a \verb|.doc| file was found:
CHAENOSGEORGIA,
SPOTSTROUTFLNW,
COHOFLYN,
SNOOKFLATLANTIC,
COHODEERFRY,
SNOOKFLGULF,
WHFSHPETCHORA,
SEELNS,

\noindent For the following stocks, only a \verb|.dat| file was found:
CHNKBLOSSOM,
WHSHERR,
COHOHUNTFRY,
COD4Vs,
HHERRHOKA,
 CODNEARwCan , Cod , North East Arctic 
 CODNS , Cod , North Sea 
 CODSKAG , Cod , Skagerrak 
 CODVIId , Cod , ICES VIId 
 CODVIa , Cod , ICES VIa 
 COHOBEAR , Coho salmon , Bear Creek Washington 
 COHOBEEF , Coho salmon , Big BeefCreek Washington 
 COHOBIGBEEF , Coho salmon , Big Beef Ck Washington 
 COHOCHRIS , Coho salmon , Christmas Creek Washington 
 COHOCOUR , Coho salmon , Courtney Creek Washington 
 COHODEER , Coho salmon , Deer Creek Oregon 
 COHODESCHUTES , Coho salmon , Deschutes River Washington 
 COHODISC , Coho salmon , Discovery Bay Washington 
 COHOFLYNFRY , Coho salmon , Flynn Creek Oregon 
 COHOHARR , Coho salmon , Harris Creek Washington 
 COHOHARRBC , Coho salmon , Harris Creek B.C. 
 COHOHOOK , Coho salmon , Hooknose Creek British Columbia 
 COHOHOOKFRY , Coho salmon , Hooknose Creek British Columbia 
 COHOHUNT , Coho salmon , Hunt's Creek British Columbia 
 COHOHURS , Coho salmon , Hurst Creek Washington 
 COHOKEOG , Coho salmon , Keogh River British Columbia 
 COHOLOST , Coho salmon , Lost Creek Washington 
 COHOMILL , Coho salmon , Mill Creek Washington 
 COHOMIN , Coho salmon , Minter Creek Washington 
 COHONEBRFRY , Coho salmon , Needle Branch Creek Oregon 
 COHONILE , Coho salmon , Nile Creek British Columbia 
 COHOPILC , Coho salmon , Little Pilchuk Creek Washington 
 COHOQUMS , Coho salmon , Qualicum River British Columbia 
 COHOQUMSFRY , Coho salmon , Qualicum River British Columbia 
 COHOQURS , Coho salmon , Qualicum River System British Columbia 
 COHOSHAL , Coho salmon , Shale Creek Washington 
 COHOSKY , Coho salmon , South Fork Skykomish River Washington 
 COHOSNAH , Coho salmon , Snahapish Creek Washington 
 COHOSNOW , Coho salmon , Snow Creek Washington 
 COHOSPRI , Coho salmon , Spring Creek Oregon 
 COHOTAYU , Coho salmon , Little Tayuha Creek Washington 
 COHOWILD , Coho salmon , Wildcat Creek Washington 
 CRAPPIEATKINS , Crappie , Atkins Reservoir Arkansas 
 CRAPPIENIMROD , Crappie , Nimrod Reservoir Arkansas 
 CRAPPIEOKA , Crappie , Okatibbee Reservoir Mississippi 
 CRAPPIEROSS , Crappie , Ross Barnett Reservoir Mississippi 
 CROCKCOL , Canary rockfish , W. U.S.(Columbia region) 
 DABBELT , Common dab , Belt Sea 
 DACEEDEN , Dace , River Eden southeast England 
 DACERFRO , Dace , River Frome Dorset England 
 DRUMERIEW , Freshwater drum , Western Lake Erie 
 EPERCHIJS , Eurasian perch , Lake Ijssel the Netherlands 
 EPERCHKYRON , Eurasian perch , River Kyronjoki 
 EPERCHLCON , Eurasian perch , Lake Constance 
 EPERCHWIND , Eurasian perch , Windermere 
 ESOLEHSTR , English sole , Hecate Strait 
 FLATHFLOKAM , Flathead flounder , West Kamchatka Shelf 
 FLOUNDERBALTIC , Flounder , Baltic Areas 24 and 25 
 FOURSPOTMEG , Four Spot Megrim , ICES VIIIc and IXa 
 FSCADSEN , False scad , N.W. Africa (CECAF 34.1.3-34.3.1) 
 GHALEBS , Greenland halibut , E. Bering Sea and Aleutian Islands 
 GHALNAFO23 , Greenland halibut , Northwest Atlantiac NAFO 2 and 3LMNOM 
 GHALNEAR , Greenland halibut , North East Arctic 
 GHALNWATL , Greenland halibut , Northwest Atlantic 
 GHALV\_XIV , Greenland halibut , ICES V and XIV 
 GMULTAI , Grey mullet , Taiwan 
 GOBISGEORGIA , Gobionotothen gibberifrons , South Georgia Antarctic Ocean 
 GOLDANCH , Gold-spotted grenadier anchovy , Northwest coast of India 
 GSHIGEO , Golden shiner , Lake St. George Ontario 
 GSTURGDANUBE , Great sturgeon , Danube river 
 GUDGRFRO , Gudgeon , River Frome Dorset England 
 HAD3NO1 , Haddock , NAFO 3NO1 (First part of HAD3NO) 
 HAD3NO2 , Haddock , NAFO 3NO2 (Second part of HAD3NO) 
 HAD3Ps1 , Haddock , NAFO 3Ps1 (First part of HAD3Ps) 
 HAD3Ps2 , Haddock , NAFO 3Ps2 (Second part of HAD3Ps) 
 HAD4TVW , Haddock , NAFO 4TVW 
 HAD4X , Haddock , NAFO 4X 
 HAD4X2 , Haddock , NAFO 4X 
 HAD5Y , Haddock , NAFO 5Y 
 HAD5Z , Haddock , NAFO 5Z 
 HADCS , Haddock , Celtic Sea 
 HADFAPL , Haddock , Faroe Plateau 
 HADICE , Haddock , Iceland 
 HADICE2 , Haddock , Iceland 
 HADIS , Haddock , Irish Sea 
 HADNEAR , Haddock , North East Arctic 
 HADNS , Haddock , North Sea 
 HADNS2 , Haddock , North Sea 
 HADROCK , Haddock , Rockall Bank 
 HADVIa , Haddock , ICES VIa 
 HADVIa2 , Haddock , ICES VIa 
 HAKEFCHILE , Peruvian hake , Chile- Northern zone 
 HAKEJAB , Hake , Jabuka Pit Adriatic Sea 
 HAKENOR , Hake , ICES VIIIab d VIIb-k 
 HAKEPERU , Peruvian hake , Peru 
 HAKESCCHILE , Peruvian hake , Chile - South Central zone 
 HAKESOU , Hake , ICES VIIIc and IXa 
 HAKESWATL , Hake , Southwest Atlantic Ocean 
 HERR2224 , Herring , Baltic areas 22 and 24 
 HERR25-27 , Herring , Baltic areas 25-27 
 HERR25-2932GOR , Herring , Baltic areas 25-29 32 plus Gulf of Riga 
