assessid, issueid, datesent, datereply, dateapproved, notes, qaqc
"NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN",161,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN",160,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN",159,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN",158,"2009-03-21",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN",157,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN",223,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN",224,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN",225,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN",226,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN",227,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN",228,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN",229,"2009-03-13",,"2011-06-10","benevolent dictator QAQC",1
"NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN",183,"2009-03-23",,"2010-12-16","",1
"NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN",184,"2009-03-23",,"2011-06-10","benevolent dictator QAQC",1
