stockid,tsn,scientificname,commonname,areaid,stocklong,inMYERSDB,MYERSstockid
"AMPLGOMGB",172877,"Hippoglossoides platessoides","American plaice","USA-NMFS-GOMGB","American plaice Gulf of Maine / Georges Bank",1,"AMPL5YZ"
"WINFLOUNGOM",172905,"Pseudopleuronectes americanus","Winter flounder","USA-NMFS-GOM","Winter flounder Gulf of Maine",0,NULL
"WHAKEGBGOM",164732,"Urophycis tenuis","White hake","USA-NMFS-GBGOM","White hake Georges Bank / Gulf of Maine",0,NULL
"POLLGBGOM",164727,"Pollachius virens","Pollock","USA-NMFS-GBGOM","Pollock Georges Bank / Gulf of Maine",0,NULL
"ACADREDGOMGB",166774,"Sebastes fasciatus","Acadian redfish","USA-NMFS-GOMGB","Acadian redfish Gulf of Maine / Georges Bank",0,NULL
"OPOUTNWATLC",630979,"Zoarces americanus","Ocean pout","USA-NMFS-NWATLC","Ocean pout Northwestern Atlantic Coast",0,NULL
"WINDOWGOMGB",172746,"Scophthalmus aquosus","Windowpane","USA-NMFS-GOMGB","Windowpane flounder - Gulf of Maine / Georges Bank",0,NULL
"WINDOWSNEMATLB",172746,"Scophthalmus aquosus","Windowpane","USA-NMFS-SNEMATLB","Windowpane flounder Southern New England / Mid-Atlantic Bight",0,NULL
"HADGOM",164744,"Melanogrammus aeglefinus","Haddock","USA-NMFS-GOM","Haddock Gulf of Maine",0,NULL
"ATHALNWATLC",172933,"Hippoglossus hippoglossus","Atlantic Halibut","USA-NMFS-NWATLC","Atlantic halibut Northwestern Atlantic Coast",0,NULL
"SFLOUNMATLC",172735,"Paralichthys dentatus","Summer flounder","USA-NMFS-MATLC","Summer flounder Mid-Atlantic Coast",1,"SFLOUNDMAB"
"MONKGOMNGB",164499,"Lophius americanus","Monkfish","USA-NMFS-GOMNGB","Monkfish Gulf of Maine / Northern Georges Bank",0,NULL
"MONKSGBMATL",164499,"Lophius americanus","Monkfish","USA-NMFS-SGBMATL", "Monkfish Southern Georges Bank / Mid-Atlantic",0,NULL
"MONK2J3KLNOPs",164499,"Lophius americanus","Monkfish","multinational-NAFO-2J3KLNOPs","Monkfish Labrador Shelf - Grand Banks - St. Pierre Bank",0,NULL
"STRIPEDBASSGOMCHATT",167680,"Morone saxatilis","Striped bass","USA-NMFS-GOMCHATT","Striped bass Gulf of Maine / Cape Hatteras", 1,"STRIPEDBASSUSA"
"PANDALNWATLC",96967,"Pandalus borealis","Northern shrimp","USA-NMFS-NWATLC","Northern shrimp Northwestern Atlantic Coast",0,NULL
"PANDALGOM",96967,"Pandalus borealis","Northern shrimp","USA-NMFS-5Y","Northern shrimp Gulf of Maine",0,NULL
"SCALLMATLC",79718,"Placopecten magellanicus","Sea scallop","USA-NMFS-MATLC","Sea scallop Mid-Atlantic Coast",0,NULL
"SCALLGB",79718,"Placopecten magellanicus","Sea scallop","USA-NMFS-5Z","Sea scallop Georges Bank",0,NULL
"QUAHATLC",81343,"Arctica islandica","Ocean quahog","USA-NMFS-ATLC","Ocean quahog Atlantic Coast",0,NULL
"SURFMATLC",80944,"Spisula solidissima","Atlantic surfclam","USA-NMFS-MATLC","Atlantic surfclam Mid-Atlantic Coast",0,NULL
"SDOGATLC",160617,"Squalus acanthias","Spiny dogfish","USA-NMFS-ATLC","Spiny dogfish Atlantic Coast",1,"SDOGNWATL"
"BSBASSMATLC",167687,"Centropristis striata","Black sea bass","USA-NMFS-MATLC","Black sea bass Mid-Atlantic Coast",0,NULL
"RDEEPCRABNWATL",620992,"Chaceon quinquedens","Red deepsea crab","USA-NMFS-NWATL","Red deepsea crab Northwestern Atlantic",0,NULL
"SHAKEGOMNGB",164791,"Merluccius bilinearis","Silver Hake","USA-NMFS-GOMNGB","Silver hake Gulf of Maine / Northern Georges Bank",0,NULL
"SHAKESGBMATL",164791,"Merluccius bilinearis","Silver Hake","USA-NMFS-SGBMATL","Silver hake Southern Georges Bank / Mid-Atlantic",1,"SHAKEMAB"
"MACKGOMCHATT",172414,"Scomber scombrus","Mackerel","USA-NMFS-GOMCHATT","Atlantic mackerel Gulf of Maine / Cape Hatteras",1,"MACK2-6"
"ILLEXNWATLC",82521,"Illex illecebrosus","Northern shortfin squid","USA-NMFS-NWATLC","Northern shortfin squid Northwestern Atlantic Coast",0,NULL
"BLUEFISHATLC",168559,"Pomatomus saltatrix","Bluefish","USA-NMFS-ATLC","Bluefish Atlantic Coast",0,NULL
"TILEMATLC",168546,"Lopholatilus chamaeleonticeps","Tilefish","USA-NMFS-MATLC","Tilefish Mid-Atlantic Coast",0,NULL
"BUTTERGOMCHATT",172567,"Peprilus triacanthus","Atlantic butterfish","USA-NMFS-GOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras",1,"BUTTER56"
"SCUPNWATLC",169182,"Stenotomus chrysops","Scup","USA-NMFS-NWATLC","Scup Atlantic Coast",1,"SCUP"
"WINFLOUNGB",172905,"Pseudopleuronectes americanus","Winter flounder","USA-NMFS-GB","Winter flounder Georges Bank",0,NULL
"HERRNWATLC",161722,"Clupea harengus","Herring","USA-NMFS-NWATLC","Atlantic herring Northwestern Atlantic Coast",0,NULL
"RSNAPEGM",168853,"Lutjanus campechanus","Red snapper","USA-NMFS-EGM","Red snapper Eastern Gulf of Mexico",0,NULL
"RSNAPWGM",168853,"Lutjanus campechanus","Red snapper","USA-NMFS-WGM","Red snapper Western Gulf of Mexico",0,NULL
"BRNROCKSHRIMPSATLC",96028,"Sicyonia brevirostris","Brown rock shrimp","USA-NMFS-SATLC","Brown rock shrimp Southern Atlantic Coast",0,NULL
"SABLEFEBSAIGA",167123,"Anoplopoma fimbria","Sablefish","USA-NMFS-EBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",0,NULL
